                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3027,                 2.7681,                  3.151,                0.60112,                 0.1143,                0.13928,                0.06214,                 2.2706,                 2.0962,                 2.7928,               0.070213,              0.0033097,              0.0033097
                      2,                 1.7865,                 1.5489,                 2.4821,                0.60203,                0.21935,                0.21057,                0.10547,                 1.6199,                 1.3537,                 2.5667,               0.040191,              0.0066211,              0.0066211
                      3,                 1.4315,                 1.2366,                 2.2039,                0.25051,                0.42265,                0.30809,                0.19193,                 1.1764,                  1.172,                 2.2178,               0.010147,              0.0099105,              0.0099105
                      4,                 1.2257,                 1.0372,                 2.0035,                0.33874,                0.47468,                0.39596,                0.26392,                 1.0351,                0.86772,                 2.0703,               0.009901,               0.009901,               0.009901
                      5,                 1.1136,                 0.9412,                 1.9411,                0.39511,                0.52379,                0.43045,                 0.2994,                0.96589,                0.80909,                 1.9775,               0.009868,               0.009868,               0.009868
                      6,                 1.0474,                0.86172,                 1.8595,                0.42935,                0.56824,                0.49333,                0.35167,                 0.9123,                0.76069,                 1.9129,               0.009835,               0.009835,               0.009835
                      7,                 1.0143,                0.81527,                 1.8317,                0.49803,                 0.5365,                0.50434,                0.35646,                0.95687,                0.72969,                 1.9036,               0.009802,               0.009802,               0.009802
                      8,                0.98402,                0.78387,                 1.8096,                0.56579,                0.60581,                0.57631,                0.41208,                0.89285,                0.66781,                 1.8481,               0.009769,               0.009769,               0.009769
                      9,                0.95827,                0.73339,                   1.78,                0.57662,                0.59152,                0.57858,                0.42404,                 0.8536,                0.64889,                 1.8613,               0.009736,               0.009736,               0.009736
                     10,                0.95231,                0.73702,                 1.7714,                0.60437,                0.61831,                0.61168,                0.45285,                0.82338,                0.61871,                 1.8271,               0.009703,               0.009703,               0.009703
                     11,                0.93568,                0.71122,                 1.7561,                0.60602,                0.65778,                0.61875,                0.45325,                0.83882,                 0.6126,                 1.7908,                0.00967,                0.00967,                0.00967
                     12,                0.92348,                0.69204,                 1.7546,                 0.6203,                0.64221,                0.63393,                0.46634,                0.84101,                 0.5986,                 1.8121,               0.009637,               0.009637,               0.009637
                     13,                0.90637,                0.68251,                  1.729,                0.64233,                0.66567,                0.65312,                0.47895,                0.80139,                0.58409,                 1.8033,               0.009604,               0.009604,               0.009604
                     14,                0.91335,                0.68524,                   1.72,                0.60381,                0.67431,                0.63539,                0.47787,                0.81118,                0.59014,                 1.7802,               0.009571,               0.009571,               0.009571
                     15,                0.89369,                0.67019,                 1.7216,                0.62988,                0.68779,                0.66264,                0.49949,                0.80298,                0.56708,                  1.765,               0.009538,               0.009538,               0.009538
                     16,                0.88833,                0.65527,                 1.7211,                0.66359,                0.67165,                0.68329,                0.50664,                0.80299,                0.56499,                 1.7608,               0.009505,               0.009505,               0.009505
                     17,                0.88489,                0.64873,                 1.7239,                0.64369,                0.68071,                0.67363,                0.50468,                0.80421,                0.56288,                 1.7469,               0.009472,               0.009472,               0.009472
                     18,                 0.8841,                0.65383,                 1.6837,                0.67298,                0.68807,                0.69783,                 0.5256,                0.78302,                0.54588,                  1.747,               0.009439,               0.009439,               0.009439
                     19,                 0.8801,                0.64057,                 1.6826,                0.66935,                0.70893,                0.70673,                0.53343,                 0.7908,                0.54668,                 1.7356,               0.009406,               0.009406,               0.009406
                     20,                0.88886,                 0.6433,                 1.6906,                0.70865,                0.70258,                0.72867,                0.55086,                0.77744,                0.53554,                 1.7382,               0.009373,               0.009373,               0.009373
                     21,                0.87273,                0.63197,                 1.6827,                0.66818,                0.71526,                0.70707,                 0.5351,                0.77929,                0.53499,                 1.7347,                0.00934,                0.00934,                0.00934
                     22,                0.86901,                0.62901,                 1.6885,                0.69467,                0.72178,                0.72623,                0.54969,                 0.7829,                0.52512,                 1.7308,               0.009307,               0.009307,               0.009307
                     23,                0.87024,                0.63285,                 1.6846,                0.69104,                0.71181,                0.72089,                0.54917,                0.76488,                0.52765,                 1.7414,               0.009274,               0.009274,               0.009274
                     24,                0.87705,                0.63029,                  1.672,                0.72571,                0.70596,                0.73073,                0.55988,                0.76697,                0.52422,                 1.7269,               0.009241,               0.009241,               0.009241
                     25,                0.85509,                 0.6146,                 1.6768,                0.69765,                0.71461,                0.72987,                 0.5605,                0.76647,                0.52213,                 1.7254,               0.009208,               0.009208,               0.009208
                     26,                0.84823,                0.60172,                 1.6713,                0.70443,                0.72737,                0.73519,                0.56308,                0.76576,                0.52155,                 1.7219,               0.009175,               0.009175,               0.009175
                     27,                0.85929,                0.61551,                 1.6683,                0.71964,                0.72221,                0.74285,                 0.5753,                0.75395,                0.51591,                 1.7283,               0.009142,               0.009142,               0.009142
                     28,                0.85747,                0.61231,                  1.666,                0.71321,                0.71691,                0.73443,                0.56966,                0.76113,                0.51727,                 1.7268,               0.009109,               0.009109,               0.009109
                     29,                0.85178,                0.61064,                 1.6645,                0.71874,                0.71996,                0.75001,                0.58147,                0.74839,                0.50664,                 1.7249,               0.009076,               0.009076,               0.009076
                     30,                0.84506,                0.59888,                  1.651,                 0.7232,                0.73069,                0.74478,                0.57748,                0.74829,                0.50434,                 1.7098,               0.009043,               0.009043,               0.009043
                     31,                0.84214,                0.60077,                 1.6398,                0.71674,                0.74023,                0.74817,                0.57819,                0.76371,                0.50241,                 1.7072,                0.00901,                0.00901,                0.00901
                     32,                0.84759,                0.60051,                 1.6729,                0.72572,                0.73397,                 0.7502,                0.58433,                0.74967,                 0.5048,                 1.7126,               0.008977,               0.008977,               0.008977
                     33,                0.85047,                0.59979,                 1.6512,                0.74676,                0.72787,                0.76739,                0.59933,                0.74395,                0.49541,                 1.7053,               0.008944,               0.008944,               0.008944
                     34,                0.83148,                0.59062,                 1.6349,                0.73261,                0.72288,                0.75254,                0.58398,                0.74838,                0.50098,                 1.7056,               0.008911,               0.008911,               0.008911
                     35,                0.83966,                 0.5943,                 1.6393,                0.73662,                 0.7421,                0.77025,                0.60127,                0.74165,                0.49399,                  1.716,               0.008878,               0.008878,               0.008878
                     36,                 0.8445,                0.59069,                 1.6325,                 0.7582,                0.73175,                0.76682,                0.59943,                0.74124,                0.49559,                 1.6946,               0.008845,               0.008845,               0.008845
                     37,                0.84211,                0.58087,                 1.6263,                0.73924,                0.75759,                0.77016,                0.60177,                 0.7386,                0.49133,                 1.6961,               0.008812,               0.008812,               0.008812
                     38,                0.83359,                  0.582,                 1.6478,                0.73241,                0.76495,                0.77201,                0.60185,                0.74688,                0.49132,                 1.6847,               0.008779,               0.008779,               0.008779
                     39,                0.82705,                0.58449,                 1.6493,                0.73471,                0.77143,                0.78955,                0.61959,                 0.7342,                0.48443,                  1.688,               0.008746,               0.008746,               0.008746
                     40,                  0.832,                0.58507,                 1.6524,                0.76714,                0.75191,                0.78788,                0.61777,                0.74181,                0.48135,                 1.6863,               0.008713,               0.008713,               0.008713
                     41,                0.82242,                0.56251,                 1.6457,                 0.7686,                0.75921,                0.80323,                0.62946,                0.73607,                0.47667,                 1.6828,                0.00868,                0.00868,                0.00868
                     42,                0.82465,                0.57066,                 1.6583,                0.75007,                0.76859,                0.79036,                0.61976,                0.74038,                0.48209,                 1.6811,               0.008647,               0.008647,               0.008647
